N,rho_star,T_star,kappa,a,α,n_cut,m_cut,step_size,n_burnin,n_sweeps,sample_every,n_samples,seed,mean_abs_Q2_first_shell,ϵ0_inv,universal_line_4T,diff_to_4T,acceptance_rate,U1_mean,beta_U_mean
200,0.01,0.2,5.0,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200006,0.34966773826169184,0.7217432550794434,0.8,-0.07825674492055668,0.05576166666666667,-462.49165854350315,-2312.4582927175024
200,0.01,0.225,4.444444444444445,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200007,0.6184920300532842,0.5625063829070165,0.9,-0.33749361709298353,0.08288916666666667,-453.87729694716774,-2017.232430876352
200,0.01,0.25,4.0,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200008,1.0400195739597105,0.33790297556794013,1.0,-0.6620970244320599,0.11961166666666667,-443.44367658391496,-1773.7747063356599
200,0.01,0.275,3.6363636363636362,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200009,1.4633437121874953,0.1530967809560594,1.1,-0.9469032190439407,0.15609958333333335,-433.8411009311355,-1577.604003385879
200,0.01,0.3,3.3333333333333335,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200010,1.6785257433968443,0.1095144361046464,1.2,-1.0904855638953537,0.19719791666666667,-424.34476343527723,-1414.4825447843282
200,0.01,0.35,2.857142857142857,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200011,2.0221414373365407,0.08047484176268394,1.4,-1.319525158237316,0.2676691666666667,-409.06113862370603,-1168.7461103534688
200,0.01,0.4,2.5,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200012,2.318249993250124,0.07759763562872435,1.6,-1.5224023643712759,0.3298933333333333,-396.68194057443515,-991.7048514361082
200,0.01,0.5,2.0,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200013,2.9240768231842647,0.0692374392195565,2.0,-1.9307625607804435,0.42271416666666667,-379.6366021340013,-759.2732042680026
200,0.01,0.6,1.6666666666666667,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200014,3.426044729112705,0.09121341017963247,2.4,-2.308786589820367,0.49105791666666665,-367.493073602158,-612.488456003601
200,0.01,0.8,1.25,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200015,4.713715028550188,0.06223619109960388,3.2,-3.137763808900396,0.5829366666666667,-349.795095594062,-437.24386949256973
200,0.01,1.0,1.0,0.007071067811865475,1.7724538509055159,1,6,0.05,2000,10000,10,1000,200016,5.629544499059699,0.10403016561886125,4.0,-3.895969834381139,0.6426504166666667,-338.6486933854695,-338.6486933854695
